herder_id,labour.item,s2/labour_sharing/s_act_id_other,s2/labour_sharing/s_act_score
100,Herding activities,,3
100,Finding lost reindeer,,3
100,Taking animals to slaughterhouse,,3
100,Repairing vehicles,,5
100,Repairing fences/corrals,,5
100,Repairing cabins,,4
100,Other,,1
19,Herding activities,,3
19,Finding lost reindeer,,4
19,Taking animals to slaughterhouse,,2
19,Repairing vehicles,,3
19,Repairing fences/corrals,,3
19,Repairing cabins,,2
70,Herding activities,,4
70,Finding lost reindeer,,4
70,Taking animals to slaughterhouse,,2
70,Repairing vehicles,,1
70,Repairing fences/corrals,,4
70,Repairing cabins,,1
70,Other,,3
9,Herding activities,,1
9,Finding lost reindeer,,3
9,Taking animals to slaughterhouse,,3
9,Repairing vehicles,,6
9,Repairing fences/corrals,,4
9,Repairing cabins,,3
9,Other,Vedlikehold (maintenance),5
73,Herding activities,,6
73,Finding lost reindeer,,4
73,Taking animals to slaughterhouse,,2
73,Repairing vehicles,,5
73,Repairing fences/corrals,,5
73,Repairing cabins,,2
73,Other,Vedlikehold maintenance,2
16,Herding activities,,2
16,Finding lost reindeer,,6
16,Taking animals to slaughterhouse,,2
16,Repairing vehicles,,4
16,Repairing fences/corrals,,3
16,Repairing cabins,,1
16,Other,Vedlikehold (maintenance),3
75,Herding activities,,5
75,Finding lost reindeer,,4
75,Taking animals to slaughterhouse,,1
75,Repairing vehicles,,5
75,Repairing fences/corrals,,6
75,Repairing cabins,,4
75,Handcrafts,,4
46,Herding activities,,3
46,Finding lost reindeer,,3
46,Taking animals to slaughterhouse,,7
46,Repairing vehicles,,1
46,Repairing fences/corrals,,7
46,Repairing cabins,,1
46,Other,Tourism,7
2,Herding activities,,3
2,Finding lost reindeer,,4
2,Taking animals to slaughterhouse,,4
2,Repairing vehicles,,2
2,Repairing fences/corrals,,5
2,Repairing cabins,,2
2,Other,,1
60,Herding activities,,6
60,Finding lost reindeer,,5
60,Taking animals to slaughterhouse,,1
60,Repairing vehicles,,2
60,Repairing fences/corrals,,4
60,Repairing cabins,,2
60,Handcrafts,,3
64,Herding activities,,5
64,Finding lost reindeer,,5
64,Taking animals to slaughterhouse,,3
64,Repairing vehicles,,3
64,Repairing fences/corrals,,3
64,Repairing cabins,,1
64,Other,,2
5,Herding activities,,3
5,Finding lost reindeer,,5
5,Taking animals to slaughterhouse,,7
5,Repairing vehicles,,4
5,Repairing fences/corrals,,4
5,Repairing cabins,,1
18,Herding activities,,4
18,Finding lost reindeer,,2
18,Taking animals to slaughterhouse,,3
18,Repairing vehicles,,1
18,Repairing fences/corrals,,3
18,Repairing cabins,,1
18,Other,Makes own sleds,7
74,Herding activities,,2
74,Finding lost reindeer,,1
74,Taking animals to slaughterhouse,,1
74,Repairing vehicles,,1
74,Repairing fences/corrals,,4
74,Repairing cabins,,1
74,Handcrafts,,6
34,Herding activities,,5
34,Finding lost reindeer,,3
34,Taking animals to slaughterhouse,,3
34,Repairing vehicles,,4
34,Repairing fences/corrals,,5
34,Repairing cabins,,2
72,Herding activities,,6
72,Finding lost reindeer,,6
72,Taking animals to slaughterhouse,,99
72,Repairing vehicles,,7
72,Repairing fences/corrals,,7
72,Repairing cabins,,7
82,Herding activities,,5
82,Finding lost reindeer,,4
82,Taking animals to slaughterhouse,,2
82,Repairing vehicles,,2
82,Repairing fences/corrals,,3
82,Repairing cabins,,1
82,Handcrafts,,1
26,Herding activities,,4
26,Finding lost reindeer,,6
26,Taking animals to slaughterhouse,,2
26,Repairing vehicles,,4
26,Repairing fences/corrals,,7
26,Repairing cabins,,4
40,Herding activities,,7
40,Finding lost reindeer,,4
40,Taking animals to slaughterhouse,,2
40,Repairing vehicles,,2
40,Repairing fences/corrals,,4
40,Repairing cabins,,1
40,Handcrafts,,2
40,Other,Accountancy,2
27,Herding activities,,4
27,Finding lost reindeer,,5
27,Taking animals to slaughterhouse,,4
27,Repairing vehicles,,3
27,Repairing fences/corrals,,7
27,Repairing cabins,,3
27,Handcrafts,,3
1,Herding activities,,3
1,Finding lost reindeer,,3
1,Taking animals to slaughterhouse,,3
1,Repairing vehicles,,2
1,Repairing fences/corrals,,3
1,Repairing cabins,,1
1,Handcrafts,,4
3,Herding activities,,4
3,Finding lost reindeer,,2
3,Taking animals to slaughterhouse,,1
3,Repairing vehicles,,2
3,Repairing fences/corrals,,3
3,Repairing cabins,,1
35,Herding activities,,7
35,Finding lost reindeer,,3
35,Taking animals to slaughterhouse,,2
35,Repairing vehicles,,5
35,Repairing fences/corrals,,2
35,Repairing cabins,,2
36,Herding activities,,6
36,Finding lost reindeer,,4
36,Taking animals to slaughterhouse,,2
36,Repairing vehicles,,4
36,Repairing fences/corrals,,4
36,Repairing cabins,,2
77,Herding activities,,4
77,Finding lost reindeer,,4
77,Taking animals to slaughterhouse,,3
77,Repairing vehicles,,2
77,Repairing fences/corrals,,4
77,Repairing cabins,,2
77,Handcrafts,,1
76,Herding activities,,5
76,Finding lost reindeer,,5
76,Taking animals to slaughterhouse,,3
76,Repairing vehicles,,3
76,Repairing fences/corrals,,4
76,Repairing cabins,,1
86,Herding activities,,3
86,Finding lost reindeer,,3
86,Taking animals to slaughterhouse,,3
86,Repairing vehicles,,4
86,Repairing fences/corrals,,4
86,Repairing cabins,,4
86,Handcrafts,,1
49,Herding activities,,5
49,Finding lost reindeer,,3
49,Taking animals to slaughterhouse,,2
49,Repairing vehicles,,6
49,Repairing fences/corrals,,5
49,Repairing cabins,,2
49,Handcrafts,,2
85,Herding activities,,7
85,Finding lost reindeer,,7
85,Taking animals to slaughterhouse,,2
85,Repairing vehicles,,2
85,Repairing fences/corrals,,6
85,Repairing cabins,,2
85,Handcrafts,,1
97,Herding activities,,7
97,Finding lost reindeer,,7
97,Taking animals to slaughterhouse,,2
97,Repairing vehicles,,7
97,Repairing fences/corrals,,7
97,Repairing cabins,,3
97,Handcrafts,,7
